product_url                                                                                                                                                             ,product_name                                                       ,price      ,pack_size         ,inventory_left,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,brand    ,image_urls
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/coffee/ground-coffee-beans/ground/dormans-kkkahawa-dark-medium-gr100g/p/23274                           ,Dormans Kenya Kahawa Medium Grind Medium Toast  100 gr             ,KES 65.00  ,100 gr            ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/hae/hf9/17292039684126/23274_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h6d/hf1/12462117257246/23274_Main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h8f/he4/17292039028766/23274_1.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/tea/loose-leaf-tea-bags/flavored-bags/baraka-chai-tangawi-25-tea-bags-50g/p/41677                       ,Baraka Chai Tangawi 25 Tea Bags 50G                                ,KES 74.00  ,                  ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/h92/h29/16872298053662/41677_main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/nectar-fruit-juice/afia-multivitamn-fruit-drink-300ml/p/41441         ,Afia Multivitamn Fruit Drink 300Ml                                 ,KES 55.00  ,300 ml            ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h9b/hf5/16813697466398/41441_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h7e/hf8/12462956150814/41441_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/water/still-water/aquaclear-water-bottle-500ml/p/16143                                                  ,AQUACLEAR WATER BOTTLE 500ML                                       ,KES 31.00  ,                  ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h3a/h82/16872845082654/16143_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hdd/hec/12462841790494/16143_Main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h64/hb7/16872843444254/16143_1.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/tea/loose-leaf-tea-bags/black-bags/ketepa-pride-50-tea-bags-env100g/p/22910                             ,Ketepa Pride Enveloped Tea Bags 100g                               ,KES 149.00 ,100g              ,              ,"Ketepa Pride Tea Bags are blended from a selection of tea with finer granules, allowing for full, fast infusion. Packed in 2gm, they are heat sealed to avoid tearing for comfortable enjoyment of best quality tea."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h88/hcc/17328552181790/22910_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h4a/he0/12462057947166/22910_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/coffee/ground-coffee-beans/lebanese-coffee/dormans-espresso-capsules-5gx25/p/23294                      ,Dormans Espresso Coffee Capsules 125 gr                            ,KES 915.00 ,125 gr            ,2             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h7b/h06/17292040339486/23294_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h24/h46/12462122500126/23294_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/soft-drinks/carbonated-drinks/cola/club-soda-cola-pet-1-25l/p/293                                       ,Club Soda Cola Pet 1.25L                                           ,KES 110.00 ,1.25 lt           ,2             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/hb6/hca/17014020309022/293_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h0c/hb2/12461799276574/293_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/concentrate-fruit-juice/afia-orange-pet-750ml/p/109209                ,Afia Orange Juice 750 ml                                           ,KES 90.00  ,750 ml            ,7             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/hd0/h6b/16872415035422/109209_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h22/h13/12449447542814/109209_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/coffee/instant-coffee-sachets/mixes-sachets/maccoffee-cafa-pho-24gx5/p/108571                           ,Maccoffee Cafa Pho 24 gr x 5                                       ,KES 250.00 ,24 gr             ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/he9/hdc/12449377091614/108571_Main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/nectar-fruit-juice/fruitville-mixedberrytetra1l/p/94133               ,Fruitville Berry Juice 1L                                          ,KES 214.00 ,1L                ,              ,"Mix berry contains highly beneficial content that may enrich the vitality of your body and contribute to overall health and well-being. It may help in balancing all essential nutrition and provide body vitality for energy throughout the day and hence prevents from various dreadful diseases for long and healthy life. Presenting Fruitville mixed berries, packed with the goodness of 6 super fruits red grapes, cranberries, raspberries, strawberries, sea buckthorns, and blueberries. With the antioxidants and essential nutrients like vitamins and minerals, berries help the immunity and breath health of kids."                                                                                                                                                                                                                                      ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h97/h8c/17292720603166/94133_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hcf/ha2/12463735504926/94133_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/powdered-drinks/hot-chocolate-melts/chocolate-melts/raha-drinking-chocolate-sachet-50g/p/17256          ,Raha Drinking Chocolate Sachet 50G                                 ,KES 32.00  ,50 gr             ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/h00/hb8/16813622394910/17256_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/he7/h4f/12462844739614/17256_Main.jpg_200Wx200H']"
